Data,H,|I|,Out-Acc,In-Acc,Sol-Time,Gap,ObjVal,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-Time,FRAC-CB-Time,CB-Eps,Model,Time Limit,Rand. State,% Fixed,Calibration,CC,Single Feature Use,Level Tree,Max Features,Super Feature
soybean-small_enc,5,23,1.0,1.0,0.6311109066009521,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,3,False
soybean-small_enc,5,23,1.0,1.0,1.3603370189666748,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,4,False
soybean-small_enc,5,23,1.0,1.0,0.27341413497924805,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,5,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.17195487022399902,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,6,False
soybean-small_enc,5,23,1.0,1.0,0.23459601402282715,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,7,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.17938709259033203,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,8,False
soybean-small_enc,5,23,0.7083333333333334,1.0,0.17594003677368164,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,9,False
soybean-small_enc,5,23,0.7916666666666666,1.0,0.16231083869934082,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,10,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.28736400604248047,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,11,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.18259596824645996,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,12,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.1769428253173828,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,13,False
soybean-small_enc,5,23,0.7083333333333334,1.0,0.19119501113891602,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,14,False
soybean-small_enc,5,23,0.75,1.0,0.17910194396972656,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,15,False
soybean-small_enc,5,23,0.875,1.0,0.19357609748840332,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,16,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.18386602401733398,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,17,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.17093181610107422,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,18,False
soybean-small_enc,5,23,1.0,1.0,0.17377209663391113,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,19,False
soybean-small_enc,5,23,1.0,1.0,0.18648004531860352,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,20,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.19910287857055664,0.0,23.0,0,0,0,0,0,0,0,MCF1,3600,138,0,True,False,False,None,21,False
